65.382, -60.486, 29.985
65.214, -62.444, 20
64.001, -61.116, 80.703
63.198, -59.285, 92.813
62.497, -57.412, 96.115
61.858, -55.517, 96.876
61.259, -53.609, 97.375
60.695, -51.69, 97.713
60.16, -49.763, 97.947
59.652, -47.828, 98.111
59.168, -45.888, 98.224
58.705, -43.942, 98.301
58.263, -41.992, 98.349
57.844, -40.036, 98.349
57.448, -38.076, 98.374
57.07, -36.112, 98.379
56.71, -34.145, 98.368
56.372, -32.173, 98.368
56.058, -30.198, 98.341
55.76, -28.221, 98.299
55.481, -26.24, 98.299
55.231, -24.256, 98.243
54.999, -22.269, 98.172
54.784, -20.281, 98.085
54.603, -18.289, 98.085
54.44, -16.296, 97.982
54.296, -14.301, 97.982
54.19, -12.304, 97.86
54.104, -10.306, 97.719
54.04, -8.307, 97.719
54.017, -6.307, 97.555
54.017, -4.307, 97.366
54.044, -2.307, 97.366
54.118, -0.309, 97.149
54.217, 1.689, 96.9
54.349, 3.684, 96.9
54.534, 5.675, 96.615
54.752, 7.663, 96.289
55.005, 9.647, 96.289
55.324, 11.622, 95.918
55.683, 13.589, 95.499
56.082, 15.549, 95.33
56.44, 17.514, 99.915
56.72, 19.495, 99.881
57.002, 21.475, 99.881
57.284, 23.455, 99.835
57.569, 25.434, 98.781
57.857, 27.414, 96.176
58.148, 29.392, 93.497
58.443, 31.37, 90.74
58.745, 33.347, 87.896
59.056, 35.323, 84.958
59.38, 37.297, 81.913
59.725, 39.267, 78.751
60.1, 41.231, 75.457
60.524, 43.186, 72.013
61.02, 45.123, 68.395
61.602, 47.036, 64.575
62.249, 48.929, 60.514
62.919, 50.813, 56.16
63.583, 52.7, 51.439
64.23, 54.592, 46.238
64.861, 56.49, 40.372
65.474, 58.394, 33.495
66.074, 60.301, 24.778
66.781, 62.613, 0
66.781, 62.613, 0
72.635, 81.737, 0
endData
127
100
200
65.382, -60.486, 66.315, -73.776, 47.664, -19.687, 56.29, 16.451
56.29, 16.451, 61.419, 52.821, 60.02, 40.231, 66.781, 62.613
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":12,"robotHeight":12,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes (Skills)","signature":"V5RC 2025 - High Stakes (Skills)","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"8LgBAIRWny","x":65.38240886855377,"y":-60.486421897224325,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"nZFTbokwBU","x":66.31497781547365,"y":-73.77552939083282,"lock":false,"visible":true,"__type":"control"},{"uid":"ZO8B7kXmmW","x":47.66359887707578,"y":-19.686530469478964,"lock":false,"visible":true,"__type":"control"},{"uid":"WPZEKX6LOB","x":56.2898616360848,"y":16.45051622366693,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"dPB0IpKpY7"},{"controls":[{"uid":"WPZEKX6LOB","x":56.2898616360848,"y":16.45051622366693,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"LQxKG8QH6b","x":61.41899084414422,"y":52.8207051535428,"lock":false,"visible":true,"__type":"control"},{"uid":"QKIOToZpNU","x":60.020137423764375,"y":40.23102437012423,"lock":false,"visible":true,"__type":"control"},{"uid":"uu3Gb7DSgA","x":66.7812622889336,"y":62.61267909620168,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"4rqGuraYY4"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"pWmy4vqDLK","lock":false,"visible":true}]}
